col1;col2;col3;col5
ADN;nucléotide;L’ADN est un polymère de nucléotides.;1A
ARN;ribose;L’ARN contient du ribose, contrairement à l’ADN.;1A
gène;locus;Un gène occupe un locus précis sur un chromosome.;1A
allèle;fréquence;La fréquence allélique mesure la proportion d’un allèle.;1A
mutation;substitution;Une mutation peut être une substitution de base.;1A
méiose;gamète;La méiose produit des gamètes haploïdes.;1A
mitose;anaphase;En anaphase, les chromatides sœurs se séparent.;1A
ribosome;traduction;Le ribosome effectue la traduction de l’ARNm.;1A
codon;triplet;Un codon est un triplet de nucléotides.;1A
introns;épissage;Les introns sont retirés par épissage.;1A
exons;mature;Les exons composent l’ARNm mature.;1A
polymérase;transcription;L’ARN polymérase catalyse la transcription.;1A
ARNt;anticodon;L’ARNt porte l’anticodon complémentaire du codon.;1A
phénotype;caractère;Le phénotype s’exprime par des caractères observables.;1A
génome;séquence;Le génome est l’ensemble des séquences d’ADN.;1A
chromosome;centromère;Le centromère unit les chromatides sœurs.;1A
zygote;diploïde;Le zygote est diploïde après la fécondation.;1A
caryotype;paire;Le caryotype ordonne les chromosomes par paires.;1A
duplication;néofonction;Une duplication peut mener à une néo‑fonctionnalisation.;1A
transposon;mobilité;Les transposons sont des éléments génétiques mobiles.;1A
transfert;horizontal;Des gènes peuvent circuler entre espèces (horizontal).;1A
sélection;adaptation;La sélection naturelle favorise des adaptations.;1A
dérive;hasard;La dérive génétique modifie les fréquences au hasard.;1A
flux;migration;Le flux génétique provient de migrations.;1A
isolement;reproductif;L’isolement reproductif empêche le croisement.;1A
spéciation;divergence;La spéciation suit une divergence génétique durable.;1A
Mendel;ségrégation;Mendel a décrit la ségrégation des allèles.;1A
Darwin;variation;Darwin relie variations héréditaires et sélection.;1A
hérédité;brassage;Brassage méiotique et fécondation créent la diversité.;1A
mutation-silencieuse;synonyme;Mutation qui ne change pas l’acide aminé.;1A
mutation-non-sens;stop;Mutation générant un codon stop prématuré.;1A
mutation-décalage;frameshift;Insertion/suppression décale le cadre de lecture.;1A
méiose I;disjonction;Disjonction des homologues en anaphase I.;1A
chiasma;enjambement;Le chiasma matérialise le crossing‑over.;1A
gènes-liés;liaison;Des gènes liés s’héritent ensemble.;1A
carte-génétique;centimorgan;La distance génétique se mesure en cM.;1A
endosymbiose;origine;Mitochondries et chloroplastes proviennent d’endosymbioses.;1A
réplication;semi-conserv;La réplication de l’ADN est semi‑conservative.;1A
hélicase;ouverture;L’hélicase sépare les brins d’ADN.;1A
ligase;soudure;L’ADN ligase soude les fragments d’Okazaki.;1A
épigénétique;méthylation;La méthylation module l’expression génique.;1A
histone;acétylation;L’acétylation d’histones ouvre la chromatine.;1A
microARN;silencing;Les microARN assurent un silencing post‑transcriptionnel.;1A
horloge-moléculaire;taux-mutation;On estime le temps par un taux de mutation moyen.;1A
phylogénie;clade;La phylogénie regroupe les espèces en clades.;1A
stratigraphie;superposition;La superposition ordonne les couches.;1B
fossile;repère;Les fossiles servent de repères biostratigraphiques.;1B
discordance;lacune;Une discordance marque une lacune de sédimentation.;1B
datation;radiochron;La radiochronologie date par isotopes.;1B
demi-vie;constante;La demi‑vie d’un isotope est constante.;1B
faille;rejet;Une faille se caractérise par un rejet.;1B
plissement;anticlinal;Un anticlinal est un pli convexe vers le haut.;1B
métamorphisme;faciès;Les faciès P‑T révèlent l’histoire des roches.;1B
granite;intrusif;Le granite est magmatique intrusif.;1B
basalte;effusif;Le basalte est volcanique effusif.;1B
ophiolite;obduction;Une ophiolite provient d’obduction océan‑continent.;1B
sédiment;dépôt;Les sédiments se déposent en bassins.;1B
conglomérat;galet;Le conglomérat contient des galets arrondis.;1B
grès;quartz;Le grès est riche en grains de quartz.;1B
argilite;feuillet;Les argilites ont des feuillets fins.;1B
schiste;foliation;Le schiste montre une foliation.;1B
marbre;recristall;Le marbre recristallise du calcaire.;1B
gneiss;bandes;Le gneiss alterne bandes claires et sombres.;1B
dorsale;accrétion;Aux dorsales, l’accrétion forme la lithosphère.;1B
subduction;fosse;La subduction s’accompagne d’une fosse océanique.;1B
collision;orogène;La collision bâtit des chaînes orogéniques.;1B
point-chaud;panache;Un point chaud est alimenté par un panache mantellique.;1B
paléoclimat;proxy;On reconstitue les paléoclimats via des proxys.;1B
paléoenvironnement;traces;Les traces sédimentaires renseignent les milieux passés.;1B
magnétisme;inversion;Les inversions magnétiques datent les fonds océaniques.;1B
orogenèse;métamorph;Les orogenèses induisent du métamorphisme régional.;1B
rhéologie;ductile;Le manteau asthénosphérique est ductile.;1B
onde-P;compression;Les ondes P sont compressives et rapides.;1B
onde-S;cisaillement;Les ondes S cisaillent, plus lentes que P.;1B
sismogramme;délai-SP;Le délai S‑P localise l’épicentre.;1B
batholite;pluton;Un batholite est un énorme pluton granitique.;1B
isostasie;équilibre;L’isostasie traduit l’équilibre flottant des blocs.;1B
rift;amincissement;Un rift reflète l’amincissement lithosphérique.;1B
tephra;cendre;Le téphra comprend bombes, lapilli et cendres.;1B
caldeira;effondrement;Une caldeira provient d’un effondrement post‑éruptif.;1B
horst;surrection;Un horst est un compartiment surélevé entre failles.;1B
graben;affaissement;Un graben est un compartiment affaissé.;1B
diagenèse;cimentation;La diagenèse compacte et cimente les sédiments.;1B
granoclassement;énergie;Le granoclassement renseigne l’énergie du milieu.;1B
chloroplaste;thylakoïde;Les thylakoïdes hébergent les photosystèmes.;2A
chlorophylle;pigment;La chlorophylle capte l’énergie lumineuse.;2A
photosystème;antenne;Un photosystème possède une antenne collectrice.;2A
Rubisco;carboxylase;La Rubisco fixe le CO₂ au cycle de Calvin.;2A
xylème;ascension;Le xylème assure l’ascension de la sève brute.;2A
phloème;translocation;Le phloème transporte les sucres vers les puits.;2A
racine;poil-absorbant;Les poils absorbants augmentent l’absorption.;2A
symbiose;mycorhize;La mycorhize échange eau/minéraux contre sucres.;2A
légumineuse;rhizobium;Rhizobium fixe l’azote dans des nodosités.;2A
auxine;phototropisme;L’auxine pilote le phototropisme.;2A
gibbérelline;allongement;Les gibbérellines stimulent l’allongement.;2A
cytokinine;division;Les cytokinines favorisent la division cellulaire.;2A
acide-abscissique;dormance;L’ABA déclenche dormance et fermeture stomatique.;2A
éthylène;maturation;L’éthylène accélère la maturation des fruits.;2A
cuticule;cire;La cuticule cireuse limite la transpiration.;2A
graine;albumen;L’albumen stocke des réserves pour l’embryon.;2A
germination;imbibition;L’imbibition d’eau déclenche la germination.;2A
fleur;anthère;L’anthère produit le pollen.;2A
pistil;stigmate;Le stigmate reçoit le pollen.;2A
fruit;péricarpe;Le péricarpe enveloppe le fruit (ovaire).;2A
domestication;sélection;La domestication repose sur la sélection variétale.;2A
rendement;amélioration;La sélection améliore le rendement.;2A
OGM;transgénèse;La transgénèse introduit un gène d’intérêt.;2A
greffage;porte-greffe;Le greffage associe greffon et porte‑greffe.;2A
bouturage;clonage;La bouture réalise un clonage végétatif.;2A
parenchyme;photosynth;Le parenchyme chlorophyllien photosynthétise.;2A
sève-brute;cohésion;La cohésion‑adhésion tire la sève brute.;2A
sève-élaborée;source-puits;La sève élaborée circule de la source vers le puits.;2A
