Répertoire,Fichier,Type de fichier,Responsabilité principale,Classes/Widgets principaux,Méthodes importantes,Imports clés,Connexions avec autres fichiers,Notes techniques,Priorité maintenance
/,main.dart,Entry Point,Initialisation application Flutter avec Riverpod,MyApp (StatelessWidget),main(); build(),material.dart; riverpod.dart; app_config.dart,Point d'entrée unique - connecte toute l'app,Configuration environnement et providers,Critique
app/config/,app_config.dart,Configuration,Gestion des environnements et paramètres,AppConfig; ImageConfig; Environment,development(); production(); standard(),freezed; riverpod,Utilisé par main.dart et providers,Configuration Firebase désactivée,Élevée
app/config/,app_config.freezed.dart,Generated,Code généré pour sérialisation,_$AppConfig; _$ImageConfig,copyWith(); toJson(); fromJson(),Code généré par build_runner,Connecté à app_config.dart,Regénéré automatiquement,Auto
app/config/,index.dart,Barrel Export,Simplification des imports de configuration,-,export statements,app_config.dart,Simplifie imports dans autres fichiers,Export centralisé,Faible
features/common/domain/models/,device_config.dart,Domain Model,Configuration et capacités d'appareil,DeviceConfig; DeviceCapabilities; DeviceType,fromMediaQuery(); detectDevice(),material.dart; freezed,Utilisé par device_config_provider.dart,Détection iPhone/iPad/Android,Moyenne
features/common/domain/models/,device_config.freezed.dart,Generated,Code généré pour DeviceConfig,_$DeviceConfig; _$DeviceCapabilities,copyWith(); toString(),Code généré,Connecté à device_config.dart,Types d'appareils et capacités,Auto
features/common/domain/providers/,device_config_provider.dart,Riverpod Provider,State management configuration appareil,DeviceConfigNotifier,build(); updateConfig(),riverpod; device_config.dart,Connecté à tous les écrans,Notifie changements d'appareil,Moyenne
features/puzzle/domain/models/,game_state.dart,Domain Model,État principal du jeu de puzzle,GameState; GameSettings,initial(); shufflePieces(); isSolved(),material.dart; typed_data,Cœur de la logique métier,Contient l'état des pièces,Critique
features/puzzle/domain/models/,game_state.freezed.dart,Generated,Code généré pour GameState,_$GameState; _$GameSettings,copyWith(); hashCode(); ==(),Code généré,Connecté à game_state.dart,État immutable du puzzle,Auto
features/puzzle/domain/models/,image_processing_data.dart,Domain Model,Métadonnées de traitement d'images,ImageProcessingData,empty(); withTimings(),material.dart; freezed,Utilisé par image_controller.dart,Statistiques de performance,Faible
features/puzzle/domain/models/,image_processing_data.freezed.dart,Generated,Code généré pour ImageProcessingData,_$ImageProcessingData,copyWith(); toString(),Code généré,Connecté à image_processing_data.dart,Données de profilage,Auto
features/puzzle/domain/providers/,game_providers.dart,Riverpod Provider,State management logique de jeu,GameStateNotifier; GameSettingsNotifier,updatePuzzle(); resetGame(); movePiece(),riverpod; game_state.dart,Hub central du state management,Logique de déplacement des pièces,Critique
features/puzzle/presentation/controllers/,image_controller.dart,Controller,Gestion sélection et traitement d'images,ImageController,pickImage(); processImage(); optimizeForPuzzle(),image_picker; image_optimizer.dart,Connecté aux écrans et widgets,Interface caméra/galerie,Élevée
features/puzzle/presentation/screens/,puzzle_game_screen.dart,UI Screen,Écran principal du jeu,PuzzleGameScreen,build(); _handlePieceMove(); initState(),material.dart; riverpod; tous les widgets,Écran principal - orchestre l'UI,Interface utilisateur complexe,Critique
features/puzzle/presentation/screens/,help_screen.dart,UI Screen,Écran d'aide et documentation,HelpScreen; _HelpScreenState,build(); getHelpContent(); _getVersionInfo(),markdown; package_info_plus,Accessible depuis menu principal,Contenu bilingue FR/EN,Moyenne
features/puzzle/presentation/widgets/board/,puzzle_board.dart,UI Widget,Plateau de jeu interactif,PuzzleBoard,build(); _buildPiece(); _handleTap(),material.dart; game_providers.dart,Utilisé par puzzle_game_screen.dart,Gestion des interactions tactiles,Élevée
features/puzzle/presentation/widgets/image/,image_preview.dart,UI Widget,Aperçu et sélection d'images,ImagePreview,build(); _showImageDetails(),material.dart; image_controller.dart,Utilisé par puzzle_game_screen.dart,Galerie d'images artistiques,Moyenne
features/puzzle/presentation/widgets/image/,image_processing_report_widget.dart,UI Widget,Affichage rapports de traitement,ImageProcessingReportWidget,build(); _formatSize(); _formatTime(),material.dart; image_processing_data.dart,Widget de debug/info,Statistiques utilisateur,Faible
features/puzzle/presentation/widgets/toolbar/,custom_toolbar.dart,UI Widget,Barre d'outils du jeu,CustomToolbar,build(); _buildToolButton(),material.dart; game_providers.dart,Utilisé par puzzle_game_screen.dart,Boutons d'action (aide/reset/etc),Moyenne
core/constants/,image_list.dart,Constants,Liste des œuvres d'art intégrées,ImageAsset (enum),-,-,Utilisé par image_preview.dart,Images Pissarro et classiques,Faible
core/utils/,image_optimizer.dart,Utility,Optimisation et redimensionnement d'images,ImageOptimizer,optimizeImage(); resizeImage(); compress(),material.dart; typed_data,Utilisé par image_controller.dart,Algorithmes de compression,Élevée
core/utils/,profiler.dart,Utility,Mesure de performance,Profiler,startTimer(); endTimer(); getReport(),dart:async,Utilisé par image_optimizer.dart,Monitoring des temps de traitement,Faible
l10n/,app_localizations.dart,i18n Base,Classe abstraite de localisation,AppLocalizations,delegate; supportedLocales(),material.dart,Base pour FR/EN,Interface de localisation,Moyenne
l10n/,app_localizations_en.dart,i18n English,Textes anglais,AppLocalizationsEn,Getters pour tous les textes,app_localizations.dart,Généré depuis app_en.arb,Traductions anglaises,Faible
l10n/,app_localizations_fr.dart,i18n French,Textes français,AppLocalizationsFr,Getters pour tous les textes,app_localizations.dart,Généré depuis app_fr.arb,Traductions françaises,Faible

